,Address,City,Country,full_address,Location,Point,Latitude,Longitude,Altitude
0,Papaflessa 65 Galatsi,Athens,Greece,"Papaflessa 65 Galatsi,Athens,Greece","65-67, Παπαφλέσσα, Αγία Ειρήνη, Γαλάτσι, Δήμος Γαλατσίου, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 11146, Ελλάς","(38.0217067, 23.7535764, 0.0)",38.0217067,23.7535764,0.0
1,Karlaplan 13,STOCKHOLM,Sweden,"Karlaplan 13,STOCKHOLM,Sweden","13, Karlaplan, Östermalm, Östermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 30, Sverige","(59.3388914, 18.0909335, 0.0)",59.3388914,18.0909335,0.0
2,Nybrogatan 47,STOCKHOLM,Sweden,"Nybrogatan 47,STOCKHOLM,Sweden","47, Nybrogatan, Villastaden, Östermalm, Östermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 39, Sverige","(59.3372072, 18.0790982, 0.0)",59.3372072,18.0790982,0.0
3,Karlavägen 100 A,STOCKHOLM,Sweden,"Karlavägen 100 A,STOCKHOLM,Sweden","Karlavägen, Lärkstaden, Östermalm, Östermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 11430, Sverige","(59.3433066, 18.0673211, 0.0)",59.3433066,18.0673211,0.0
4,Hötorgshallen,STOCKHOLM,Sweden,"Hötorgshallen,STOCKHOLM,Sweden","Hötorgshallen, Hötorget, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 35, Sverige","(59.3343273, 18.0626039, 0.0)",59.3343273,18.0626039,0.0
5,Drottninggatan 45,STOCKHOLM,Sweden,"Drottninggatan 45,STOCKHOLM,Sweden","Drottninggatan, Sibirien, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 60, Sverige","(59.3409442, 18.0534737, 0.0)",59.3409442,18.0534737,0.0
6,Norrlandsgatan 3,STOCKHOLM,Sweden,"Norrlandsgatan 3,STOCKHOLM,Sweden","3, Norrlandsgatan, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 11147, Sverige","(59.3331769, 18.0712808, 0.0)",59.3331769,18.0712808,0.0
7,Drottninggatan 22,STOCKHOLM,Sweden,"Drottninggatan 22,STOCKHOLM,Sweden","22, Drottninggatan, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 51, Sverige","(59.3304823, 18.0649707, 0.0)",59.3304823,18.0649707,0.0
8,Rålambsvägen 7-9,STOCKHOLM,Sweden,"Rålambsvägen 7-9,STOCKHOLM,Sweden","Rålambsvägen, Marieberg, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 112 67, Sverige","(59.3285712, 18.0101353, 0.0)",59.3285712,18.0101353,0.0
9,Kungsholmstorg 11 A,STOCKHOLM,Sweden,"Kungsholmstorg 11 A,STOCKHOLM,Sweden","Kungsholmstorg, Kungsholmen, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 11223, Sverige","(59.3283336, 18.0425243, 0.0)",59.3283336,18.0425243,0.0
10,Lindhagensgatan 118,STOCKHOLM,Sweden,"Lindhagensgatan 118,STOCKHOLM,Sweden","118, Lindhagensgatan, Stadshagen, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 112 51, Sverige","(59.3373898, 18.009267, 0.0)",59.3373898,18.009267,0.0
11,Fleminggatan 56,STOCKHOLM,Sweden,"Fleminggatan 56,STOCKHOLM,Sweden","56, Fleminggatan, Kungsholmen, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 112 45, Sverige","(59.3349499, 18.0300502, 0.0)",59.3349499,18.0300502,0.0
12,Odengatan 92,STOCKHOLM,Sweden,"Odengatan 92,STOCKHOLM,Sweden","92, Odengatan, Atlasområdet, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 22, Sverige","(59.3408069, 18.0418443, 0.0)",59.3408069,18.0418443,0.0
13,Solnavägen 2b,STOCKHOLM,Sweden,"Solnavägen 2b,STOCKHOLM,Sweden","2B, Solnavägen, Röda bergen, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 65, Sverige","(59.3464104, 18.0332565, 0.0)",59.3464104,18.0332565,0.0
14,Odengatan 58,STOCKHOLM,Sweden,"Odengatan 58,STOCKHOLM,Sweden","58, Odengatan, Sibirien, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 22, Sverige","(59.3434945, 18.0528016, 0.0)",59.3434945,18.0528016,0.0
15,Birger Jarlsgatan 84,STOCKHOLM,Sweden,"Birger Jarlsgatan 84,STOCKHOLM,Sweden","84, Birger Jarlsgatan, Sibirien, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 20, Sverige","(59.3446986, 18.063395, 0.0)",59.3446986,18.063395,0.0
16,Sveavägen 66,STOCKHOLM,Sweden,"Sveavägen 66,STOCKHOLM,Sweden","66, Sveavägen, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 34, Sverige","(59.3391107, 18.0605395, 0.0)",59.3391107,18.0605395,0.0
17,Vasagatan 25,STOCKHOLM,Sweden,"Vasagatan 25,STOCKHOLM,Sweden","25, Vasagatan, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 20, Sverige","(59.3344213, 18.055626, 0.0)",59.3344213,18.055626,0.0
19,Folkungagatan 56,STOCKHOLM,Sweden,"Folkungagatan 56,STOCKHOLM,Sweden","56, Folkungagatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 22, Sverige","(59.3142692, 18.0751532, 0.0)",59.3142692,18.0751532,0.0
